word	length	score	band	rarity	unique_ratio	repetition_ratio	unpredictability	shortness
глисты	6	0.776953	hard	3.250268	1.000000	0.000000	2.463042	0.166667
пермский	8	0.775278	hard	3.188327	1.000000	0.000000	2.832067	0.125000
курить	6	0.773850	hard	3.228620	1.000000	0.000000	2.508334	0.166667
бампер	6	0.773056	hard	3.171087	1.000000	0.000000	2.639703	0.166667
студия	6	0.772309	hard	3.230755	1.000000	0.000000	2.501139	0.166667
сборная	7	0.771951	hard	3.050706	1.000000	0.000000	3.046143	0.142857
менять	6	0.771741	hard	3.235209	1.000000	0.000000	2.490040	0.166667
смерть	6	0.771112	hard	3.105954	1.000000	0.000000	2.786882	0.166667
превышать	9	0.770257	hard	3.391108	1.000000	0.000000	2.433766	0.111111
почему	6	0.769224	hard	3.296822	1.000000	0.000000	2.344383	0.166667
убедиться	9	0.767826	hard	3.346183	1.000000	0.000000	2.533672	0.111111
настоящий	9	0.767044	hard	3.287267	1.000000	0.000000	2.668246	0.111111
кабель	6	0.764807	hard	3.290891	1.000000	0.000000	2.351526	0.166667
понять	6	0.763983	hard	3.210388	1.000000	0.000000	2.535771	0.166667
толщина	7	0.762356	hard	3.088991	1.000000	0.000000	2.943780	0.142857
единый	6	0.761416	hard	3.261959	1.000000	0.000000	2.413174	0.166667
кирпич	6	0.759710	hard	3.205787	0.833333	0.166667	3.340451	0.166667
выбирать	8	0.758609	hard	3.257417	1.000000	0.000000	2.648293	0.125000
площадка	8	0.757148	hard	3.309830	0.875000	0.125000	3.125681	0.125000
достичь	7	0.757127	hard	3.209343	1.000000	0.000000	2.658800	0.142857
кольцо	6	0.755632	hard	3.379418	0.833333	0.166667	2.934428	0.166667
выразить	8	0.754769	hard	3.257724	1.000000	0.000000	2.641919	0.125000
музыкальный	11	0.753919	hard	3.579713	0.909091	0.090909	2.522655	0.090909
личной	6	0.753468	hard	3.237998	1.000000	0.000000	2.456640	0.166667
выиграть	8	0.753302	hard	3.257540	1.000000	0.000000	2.640175	0.125000
оранжевый	9	0.753083	hard	3.227215	1.000000	0.000000	2.785981	0.111111
спальный	8	0.750402	hard	3.410378	1.000000	0.000000	2.283795	0.125000
посещать	8	0.748283	hard	3.273486	1.000000	0.000000	2.596032	0.125000
поднять	7	0.745749	hard	3.255992	1.000000	0.000000	2.534537	0.142857
весьма	6	0.744779	hard	3.098667	1.000000	0.000000	2.764799	0.166667
разряд	6	0.743855	hard	3.326333	0.833333	0.166667	3.039337	0.166667
репутация	9	0.743325	hard	3.282387	1.000000	0.000000	2.644474	0.111111
цветок	6	0.742559	hard	3.170486	1.000000	0.000000	2.596069	0.166667
ужасно	6	0.736460	hard	3.141188	1.000000	0.000000	2.654560	0.166667
монтаж	6	0.735910	hard	3.065790	1.000000	0.000000	2.827445	0.166667
рецепт	6	0.732445	hard	3.218126	0.833333	0.166667	3.271775	0.166667
научиться	9	0.729782	hard	3.281914	1.000000	0.000000	2.625572	0.111111
формат	6	0.728230	hard	3.224830	1.000000	0.000000	2.449721	0.166667
десять	6	0.727023	hard	3.284074	1.000000	0.000000	2.311456	0.166667
выявить	7	0.725672	hard	3.361821	0.857143	0.142857	2.947141	0.142857
ожидать	7	0.725256	hard	3.209157	1.000000	0.000000	2.612180	0.142857
радиус	6	0.724689	hard	3.028548	1.000000	0.000000	2.896679	0.166667
ходить	6	0.724079	hard	3.319538	1.000000	0.000000	2.225408	0.166667
уборка	6	0.723843	hard	3.138677	1.000000	0.000000	2.641721	0.166667
фортуна	7	0.723010	hard	3.189429	1.000000	0.000000	2.654313	0.142857
оценка	6	0.722494	hard	3.062896	1.000000	0.000000	2.814310	0.166667
официальный	11	0.721077	hard	3.530799	0.909091	0.090909	2.586863	0.090909
правый	6	0.720937	hard	3.397561	1.000000	0.000000	2.041024	0.166667
вернуть	7	0.718978	hard	3.117226	1.000000	0.000000	2.814700	0.142857
дефицит	7	0.717657	hard	3.498964	0.857143	0.142857	2.619365	0.142857
сделка	6	0.716208	hard	2.989749	1.000000	0.000000	2.973543	0.166667
проезд	6	0.713754	hard	3.142651	1.000000	0.000000	2.617672	0.166667
сегодня	7	0.713719	hard	3.132125	1.000000	0.000000	2.772613	0.142857
подруга	7	0.711796	hard	3.228697	1.000000	0.000000	2.547296	0.142857
бумага	6	0.710917	hard	3.405610	0.833333	0.166667	2.808080	0.166667
выпускать	9	0.707553	hard	3.320857	1.000000	0.000000	2.503043	0.111111
поездка	7	0.707041	hard	3.102579	1.000000	0.000000	2.830821	0.142857
сегодняшний	11	0.706646	hard	3.334029	0.909091	0.090909	3.018868	0.090909
частный	7	0.706634	hard	3.356946	1.000000	0.000000	2.244223	0.142857
женский	7	0.706502	hard	3.292815	1.000000	0.000000	2.391770	0.142857
деньгами	8	0.706236	hard	3.185250	1.000000	0.000000	2.737238	0.125000
хозяйство	9	0.704286	hard	3.375144	0.888889	0.111111	2.906749	0.111111
виртуальный	11	0.704160	hard	3.265358	1.000000	0.000000	2.736823	0.090909
ножницы	7	0.703035	hard	3.437755	0.857143	0.142857	2.738791	0.142857
мобильный	9	0.702588	hard	3.413538	1.000000	0.000000	2.282200	0.111111
немецкий	8	0.702460	hard	3.307183	0.875000	0.125000	3.051052	0.125000
научный	7	0.701674	hard	3.467918	0.857143	0.142857	2.667295	0.142857
редакция	8	0.699257	hard	3.297034	1.000000	0.000000	2.469411	0.125000
фактор	6	0.697021	hard	3.198878	1.000000	0.000000	2.463438	0.166667
красный	7	0.696457	hard	3.234450	1.000000	0.000000	2.511397	0.142857
география	9	0.696341	hard	3.376463	0.888889	0.111111	2.891982	0.111111
опухоль	7	0.694531	hard	3.400916	0.857143	0.142857	2.811108	0.142857
лицензия	8	0.694383	hard	3.340275	0.875000	0.125000	2.962893	0.125000
партия	6	0.689794	hard	3.032254	1.000000	0.000000	2.836628	0.166667
сбербанк	8	0.688191	hard	3.135049	0.875000	0.125000	3.426542	0.125000
просьба	7	0.688143	hard	3.197731	1.000000	0.000000	2.583719	0.142857
будущее	7	0.684018	hard	3.672935	0.714286	0.285714	2.854970	0.142857
добавлять	9	0.683576	hard	3.281003	1.000000	0.000000	2.559463	0.111111
оружие	6	0.683322	hard	3.118205	1.000000	0.000000	2.629067	0.166667
увидеть	7	0.681454	hard	3.182413	1.000000	0.000000	2.609132	0.142857
энциклопедия	12	0.680171	hard	3.416611	0.916667	0.083333	2.794756	0.083333
диплом	6	0.678269	hard	3.089525	1.000000	0.000000	2.687680	0.166667
внешний	7	0.678091	hard	3.293394	0.857143	0.142857	3.034543	0.142857
быстрый	7	0.677072	hard	3.564165	0.857143	0.142857	2.409249	0.142857
люстра	6	0.675307	hard	3.233978	1.000000	0.000000	2.350522	0.166667
тридцать	8	0.674798	hard	3.284283	0.875000	0.125000	3.062972	0.125000
услуга	6	0.672617	hard	3.367463	0.833333	0.166667	2.839423	0.166667
создать	7	0.672502	hard	3.169408	1.000000	0.000000	2.625878	0.142857
дыхание	7	0.672328	hard	3.206810	1.000000	0.000000	2.539456	0.142857
функционал	10	0.671812	hard	3.357202	0.900000	0.100000	2.907800	0.100000
ухаживать	9	0.671335	hard	3.416179	0.888889	0.111111	2.763572	0.111111
вблизи	6	0.671091	hard	3.286194	0.833333	0.166667	3.024396	0.166667
приятный	8	0.669756	hard	3.335148	1.000000	0.000000	2.338057	0.125000
ссылка	6	0.669557	hard	3.131097	0.833333	0.166667	3.379434	0.166667
отключить	9	0.668735	hard	3.373691	0.888889	0.111111	2.857616	0.111111
продукты	8	0.668015	hard	3.242726	1.000000	0.000000	2.548405	0.125000
бизнес	6	0.667367	hard	3.152199	1.000000	0.000000	2.527200	0.166667
экспертиза	10	0.666408	hard	3.288826	1.000000	0.000000	2.577111	0.100000
книжка	6	0.666353	hard	3.184744	0.833333	0.166667	3.251117	0.166667
житель	6	0.666341	hard	3.312449	1.000000	0.000000	2.156510	0.166667
старый	6	0.664648	hard	3.230540	1.000000	0.000000	2.342707	0.166667
диалог	6	0.663311	hard	3.032425	1.000000	0.000000	2.797143	0.166667
спустя	6	0.662993	hard	3.288580	0.833333	0.166667	3.006944	0.166667
добиться	8	0.662108	hard	3.270302	1.000000	0.000000	2.476157	0.125000
снаружи	7	0.661592	hard	3.156644	1.000000	0.000000	2.639178	0.142857
реальный	8	0.661231	hard	3.282571	1.000000	0.000000	2.446598	0.125000
идеальный	9	0.660913	hard	3.268746	1.000000	0.000000	2.554245	0.111111
кухонный	8	0.660385	hard	3.459260	0.875000	0.125000	2.638592	0.125000
изучить	7	0.658825	hard	3.455176	0.857143	0.142857	2.633397	0.142857
цифровой	8	0.658749	hard	3.510521	0.875000	0.125000	2.518084	0.125000
выключатель	11	0.657884	hard	3.462436	0.909091	0.090909	2.651068	0.090909
коньяк	6	0.657580	hard	3.263365	0.833333	0.166667	3.057043	0.166667
должен	6	0.657010	hard	3.155725	1.000000	0.000000	2.503788	0.166667
